name,description,careerPageName,type,state,workplaceType
Analista de Planejamento e Gestão de Mudanças Pleno - Rio de Janeiro/RJ  ,"Você quer fazer parte da equipe Qualidados?Procuramos por profissionais com conhecimento e experiência na área, com perfil proativo, Capacidade de análise.Orientação para resultados, Trabalho em equipe, Organização, Liderança, Inovador, Gosta de desafios além de ter agilidade e assertividade nas entregas.Vagas&nbsp;também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuiçõesResponsável dar suporte à definição e ao desenvolvimento de padrões, metodologias e ferramentas de comunicação para passagem de serviços sem informações inconsistentes, incompletas, atrasadas ou sem estrutura;Dar suporte ao preparo do plano de comunicação, buscando a maior integração, otimização do processo, transparência das decisões;Dar suporte à elaboração da Matriz de Competências e identificar as necessidades para ministrar treinamentos;Mapear processos e elaborar de padrões de processo e instruções de trabalho;Levantar e divulgar as normas e padrões para desenvolvimento geral e específico;Sistematizar o levantamento e disseminação das lições aprendidas durante a execução e finalização das atividades;Desenvolver e atualizar os procedimentos de trabalho, com o objetivo de registrar as melhores práticas de gerenciamento e execução técnica dos projetos/serviços de Construção e Montagem;Dar suporte ao desenvolvimento do fórum de troca de conhecimento com outras áreas, inclusive externas a Petrobras quando necessário, desenvolver controles para gestão e acompanhamento dos processos e Dashboards utilizando a ferramenta Power BI;Dar suporte à criação e à apresentação de materiais para suporte as decisões gerenciais;Acompanhar os indicadores da Gerência;Elaborar comunicados internos;Criar e realizar manutenção do site da Gerência;Gerenciar mudanças;Responsável por acompanhar a evolução da conformidade dos contratos;Realizar a abertura e acompanhamento de tarefas no Planner, a interface e apoio aos steakholders do processo.Requisitos e qualificaçõesEnsino superior completo em Administração de Empresas, Curso Superior Tecnólogo em áreas correlatas à Administração de Empresas, Economia, Contábeis, Direito..Desejável: Pós-Graduação/MBA em Gestão Empresarial, Gestão de Projetos ou áreas correlatas.Desejável experiência nas ferramentas MS Project, BIZAGI, Power BI, SAP MM, SAP PS, SAP ARIBAPacote office intermediário;Excel avançado.Trabalho híbrido (3 dias em teletrabalho, 2 dias em escritório).Informações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.",Qualidados,banco de talentos,Bahia,híbrido
ANALISTA FINANCEIRO ,"Você quer fazer parte da equipe Qualidados?Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuiçõesAtuar na área financeira e de controladoria.Realizando atividades de pagamento.Movimentação de fundo fixoRegistros financeiros,&nbsp;prestação de contasEstudos relacionados área, seguindo diretrizes da empresa,&nbsp;aplicando&nbsp;procedimentos internos e a legislação específica,&nbsp;&nbsp;com o objetivo de contribuir para a gestão financeira empresa.Requisitos e qualificaçõesNível SuperiorPacote Office avançado (Excel, Word, Power Point)Especialização será um diferencialInformações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.",Qualidados,banco de talentos,Bahia,presencial
ANALISTA DE SISTEMAS ,"Você quer fazer parte da equipe Qualidados?Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuiçõesAtuar no desenvolvimento e/ou customização de sistemas informatizados, interagindo com as áreas clientes, atendendo às especificações técnicas, fazendo codificações, usando a linguagens de programação adequada e ferramentas apropriadas, desenvolvendo estruturas lógicas, testando, realizando a depuração, elaborando a documentação pertinente, utilizando procedimentos definidos e verificando a consistência da programação no sentido de garantir os requisitos de segurança e qualidade dos sistemas desenvolvidos pela empresa.Imprescindível conhecer e querer trilhar carreira em Gerenciamento de Projetos. Vivencia com ERP será diferencial. Experiencia anterior em desenvolvimento de software do início ao fim do projeto será diferencialRequisitos e qualificaçõesNível superior em Ciência da Computação, Analise de Sistemas e afinsConhecimento avançado (comprovado) C#, ASP.Net, VB.Net. Certificação será diferencial;Conhecimento avançado (comprovado) em modelagem de banco de dados Sql Server;Conhecimento inglês para leitura de materiais técnicos. Não há material em portuguêsInformações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.Jornada de Trabalho: Horário comercial.",Qualidados,banco de talentos,Bahia,presencial
ANALISTA DE RH ,"Você quer fazer parte da equipe Qualidados?Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuiçõesAtuar em processos de Recursos Humanos,&nbsp;&nbsp;realizando atividades relacionadas aos Subsistemas: Provimento, Aplicação, Desenvolvimento e Monitoramento, operacionalizando políticas e práticas de RH, analisando informações em meio físico e eletrônico, realizando registros e controle, interagindo com as diversas áreas da empresa, utilizando sistemas informatizados e cumprindo dispositivos legais e em Convenção Coletiva ou Acordo Individual do Trabalho, procedimentos e definições de superiores, no sentido de contribuir para alcançar os objetivos relacionados à Gestão de Pessoas no âmbito da empresa.Recrutamento e Seleção de Pessoal;Admissão de pessoal;Treinamento e Desenvolvimento;Acompanhar os Programas de Menor Aprendiz, Pessoas com Deficiência e Estagiários;Realizar outras atividades específicas no âmbito da atuação do cargo e conforme a&nbsp;Capacitação necessária, seguindo orientações do superior imediatoRequisitos e qualificaçõesNível SuperiorPacote Office avançado (Excel, Word, Power Point)Especialização será um diferencialInformações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.",Qualidados,banco de talentos,Bahia,presencial
ANALISTA DE PLANEJAMENTO II ,"Você quer fazer parte da equipe Qualidados?Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuições&nbsp;Realizar Inventariado dos ativos existentes, incluindo levantamento dos ativos em campo, definição de árvore do ativo, fixação das etiquetas de objeto SAP, definição da criticidade e intercambialidades dos ativos e elaboração das listas técnica dos equipamentos mapeados.Criação das matrizes de bloqueio totais e parciais (LOTO) dos ativos mapeados em campo.Inventariado dos novos ativos para a Engenharia de Projetos CBMM, criação das FMEAs (Failure Mode and Effect Analysis) por equipamento, definição de seus Planos de Manutenção e de hibernação.Requisitos e qualificaçõesExperiência em Planejamento de Rotinas de Manutenção de Mineração;SAP;Pacote Office avançado (Excel, Word, Power Point).Informações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.",Qualidados,banco de talentos,Bahia,presencial
ANALISTA DE PLANEJAMENTO ,"Você quer fazer parte da equipe Qualidados?Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.ytResponsabilidades e atribuiçõesElaborar relatórios executivos;Apoiar na interface administrativa do contrato junto ao cliente;Acompanhar faturamento do contrato;Conduzir processos de seleção, mobilização e desmobilização.Requisitos e qualificaçõesEnsino superior Completo;Experiência em Rotinas Administrativas em Indústria;Conhecimento em Power BI;Pacote Office avançado (Excel, Word, Power Point).Informações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.",Qualidados,banco de talentos,Bahia,presencial
ANALISTA DE DEPARTAMENTO PESSOAL ,"Você quer fazer parte da equipe Qualidados?&nbsp;&nbsp;Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.&nbsp;﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuiçõesAtuar no processo de Administração de Pessoal, realizando atividades relacionadas a Controle, Movimentação e Pagamento de Pessoal e/ou Encargos Sociais e Trabalhistas, quando designado para tanto, analisando informações em meio físico e eletrônico, realizando registros e controle de pessoal, fazendo lançamentos, interagindo com as diversas áreas da empresa, utilizando sistemas informatizados e cumprindo dispositivos legais e em Convenção Coletiva ou Acordo Individual do Trabalho, procedimentos e definições de superiores, no sentido de garantir a conformidade e a qualidade dos processos.&nbsp;&nbsp;&nbsp;Atuar na implantação de políticas e práticas de Recursos Humanos, realizando o cadastro de informações relacionadas a jornada de trabalho, salário e remuneração, analisando documentos, legislação, Convenção Coletiva ou Acordo Individual do Trabalho, Analisar o registro de informações funcionais de colaboradores, consultando documentos, fazendo verificações.Fazer a parametrização de verbas destinadas ao processamento de pagamento de pessoal, seguindo a legislação e exigência do esocial, realizando consultas quando necessárias.Elaborar a Folha de Pagamento e rescisão de contrato de trabalho, verificando e utilizando dados e informações em meio eletrônico e físico, interagindo com as áreas envolvidas, seguindo a legislação, Convenção ou Acordo Coletivo do Trabalho.Realizar estudos e análises relacionadas à administração de pessoal, tais como: indicadores de processos, projeções de rescisões de contrato de trabalho, absenteísmo, perfil funcional, despesas com pessoal.&nbsp;Elaborar, quando designado para tanto, cálculos e fechamento de Encargos Sociais e Trabalhistas, seguindo dispositivos legais e procedimentos da empresa.&nbsp;Cuidar da documentação proveniente da elaboração de pagamento de pessoal, organizando-a, seguindo procedimentos da empresa, verificando a correção e exatidão, disponibilizando para a Fiscalização Administrativa de Contrato – FAC e providenciando o arquivamento adequado Representar a empresa, quando designado para tanto, junto a Sindicatos ou Ministério do Trabalho, para realizar homologação de Rescisão de Contrato de Trabalho.Realizar outras atividades específicas no âmbito da atuação do cargo e conforme a capacitação necessária, seguindo orientações do superior imediato com o objetivoRequisitos e qualificaçõesNível SuperiorPacote Office avançado (Excel, Word, Power Point)Especialização será um diferencialConhecimento avançado em E-socialConhecimento em sistema de folha de pagamentoConhecimento em legislaçãoVisão sistêmicaEncargos sociais e trabalhistasInformações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;",Qualidados,banco de talentos,Bahia,presencial
ANALISTA ADMINISTRATIVO  ,"Você quer fazer parte da equipe Qualidados?&nbsp;&nbsp;Estamos procurando por profissionais com conhecimento e experiência na área, com perfil proativo, organizado, comprometido, boa comunicação, que gosta de trabalhar em equipe e de desafios.&nbsp;﻿Vagas também para PCD conforme decreto: 5.296 de 02/12/2004.Responsabilidades e atribuiçõesADM: Atuar no apoio a atividades administrativas em áreas de administração e/ou compras realizando recebimento, análise e conferência de documentos, fazendo controles e registros de informações e indicadores, elaborando cálculos, emitindo faturamento e relatórios, providenciando aquisição de produtos e materiais, fazendo contratação de serviços,&nbsp;no sentido de dar suporte às funções de coordenação na gestão de processos e garantir a conformidade com requisitos de clientes, padrões de trabalho e normas certificadoras.RH: Realizar atividades de apoio administrativo, atuando nos processos de recursos humanos&nbsp;executando rotinas relativas à inclusão e exclusão de benefícios, verificando e organizando documentos, preparando documentos, levantando informações para a gestão de indicadores de acordo com orientações de superiores, no sentido de contribuir para a administração de benefícios oferecidos pela empresa.Requisitos e qualificaçõesNível SuperiorPacote Office avançado (Excel, Word, Power Point)Especialização será um diferencialInformações adicionaisBenefícios:Transporte;Alimentação;Seguro de Vida;Plano de Saúde;Plano OdontológicoTotalpass;Starbem;Avus;Empréstimo consignado.",Qualidados,banco de talentos,Bahia,presencial
Banco de Talentos - Analista de Requisitos de Software,"Seja bem-vindo a WISE!Somos uma empresa que desenvolve soluções em informática para organizações dos mais diversos portes e atividades. Operamos com dinamismo e inovação, oferecendo soluções específicas que otimizam processos, implementam ou reorganizam todo o sistema de informação das empresas. Oferecemos acesso rápido a informações essenciais para a tomada de decisões, gerando mais produtividade, agilizando processos e reduzindo custos para os nossos clientes. Nossa sede está localizada em Curitiba/PR, mas atuamos em todo o Brasil em nossos clientes e através do Home Office.Se Você é engajado, dinâmico, ágil, apaixonado por tecnologia, gosta de fazer a diferença no que faz, busca desenvolvimento profissional constante e uma empresa com bom clima de trabalho. O seu lugar é na WISE!Nossa empresa é voltada para as melhores práticas de desenvolvimento de software. Os projetos da WISE são diversificados e oferecem oportunidade para adquirir novos conhecimentos e atuar com várias tecnologias. Valorizamos novas ideias, criatividade, autonomia, companheirismo e bom humor. Seja Wise e venha fazer parte do nosso time!#vemprawise #sejawise #bewise #analistadesistemas #analistaderequisitos #vagaanalista #vagaResponsabilidades e atribuiçõesAtuar de forma consultiva, mapeando os processos de negócio dos clientes;&nbsp;Realizar o levantamento de requisitos;&nbsp;Realizar levantamento de estimativas;&nbsp;Elaborar especificações de negócio de customizações a serem incorporadas ao produto;&nbsp;Homologar o sistema com o cliente;&nbsp;Acompanhar os usuários na utilização da plataforma e realizar treinamentos;&nbsp;Participar de reuniões com o cliente&nbsp;Apresentar a ferramenta para novos clientes;&nbsp;Proceder com a implantação dos sistemas garantindo a qualidade do projeto.Requisitos e qualificaçõesO que você precisa ter para esta função:&nbsp;Conhecimentos de Banco de dados relacionais (SQL);Conhecimentos de UML;Conhecimento em modelagem de dados;Experiência com levantamento de requisitos;2 anos de experiência como analista;Comportamental: facilidade de trabalho em equipe, comunicação, iniciativa, dinamismo e responsabilidade.O que é um diferencial:&nbsp;Experiência anterior como desenvolvedor;Conhecimento de regras do negócio planos de saúde;Experiência em projetos ou produtos com integração de sistemas diferentes (web services);Experiência com metodologias ágeis;Conhecimento em contagem de pontos de função;Elaborar manuais do sistema.Conhecimento em ferramentas de desenvolvimento (Eclipse, Ireport, Squirrel);Conhecimento em linguagens de programação (Java, Javascript, Banco de dados, Xml);Informações adicionaisTrabalho Híbrido, com alguns dias de forma presencial em Curitiba/PRRemuneração: A combinarCarga horária de prestação de serviço: 8 horas diárias, aproximadamente 168 horas/mês, de segunda à sexta.Contratação PJ (Pessoa Jurídica)Oportunidades de auxílio a obtenção à CertificaçõesTreinamentosHorário flexívelNo Dress Code",Wise Group,banco de talentos,Paraná,híbrido
Banco de Talentos - Analista de Operações SSMA ,"Avaliar as atividades se estão realizadas conforme padrão e projetos cadastrados no Autodoc de forma a garantir uma entrega com segurança, saúde e preservando meio ambiente. Suporte em casos de fiscalização internas e externas. Suporte para a equipe da fábrica no tocante de SSMA, ministrar treinamentos. Interface com área corporativa. Gestão de TST, indicadores, documental e promover campanhas de SSMA.&nbsp;Responsabilidades e atribuiçõesMinistrar treinamento para novos TSTs e equipe da engenharia&nbsp;com detalhamento das rotinas, Análises de Riscos, ITs, POs e Ondas de SSMA. Ministrar reunião/treinamento com terceiros abordando o tema de SSMA definido em cronograma, apresentar os dados de acidentes e atualização de procedimentos.Executar as campanhas de SSMA seguindo o cronograma anual (exemplo SIPAT, Novembro Azul, Outubro Rosa, Dia Nacional de Prevenção de Acidentes e outros).Montar composição da brigada de incêndio para as obras da fábrica, garantir o treinamento externo e manter os certificados arquivados em rede para apresentar caso de auditoria.Investigar todos os acidentes ocorridos nas obras (Emissão de CAT, cadastro no portal de SSO, verificação das medidas de controle, acompanhamento do acidentado até o retorno).Participar das reuniões de comunicação Regular N3 – GGO, quando necessário interação e suporte em itens de SSMA, exemplo acidente, avaliação de cenários crítico, documentação de segurança.&nbsp;Analisar com os GGOS os cartões de segurança das obras, definindo o prioritário para ser levado para o comitê regional.Realizar as reuniões regulares com o TST, avaliando plano de ação e andamento, afim de atingir a meta proposta para o projeto. Suporte técnico para obras com interface de MA corporativo.Suporte para GGOs nos itens apresentados para o GRO. Ajudar na explicação e detalhes técnicos do cartão de SSMA da sua respectiva fábrica.Avaliar a solicitação/notificação, pesquisar e entregar a documentação no prazo estabelecido.Entregar documentos de SSMA (PGR. PCMSO, PGRCC e CPO) e sinalizar os riscos mais crítico do respectivo canteiro e medidas de controleValidar projeto de logística da obra no tocante a SSMA: Dimensionamento de área vivência e Baia de resíduos, risco de trabalho sobreposto, caminho seguro, acesso de caminhões, isolamento periférico e outros perigos de acidentes.Ajustar os itens de segurança do grupo 16: Verificar materiais e suas respectivas quantidades a serem utilizadas no canteiro de obras.Manter atualizado o cadastro de profissionais do SESMT no site do M T E.Conduzir o processo eleitoral da CIPA, reuniões mensais, cadastro no cervello das estabilidades, treinamento, lançamento das atas e todo processo eleitoral no portal.Verificar cumprimento das premissas de segurança, conforme manual de operação dos equipamentos críticos (guindaste, grua, cremalheira, andaime suspenso, compressores e máquinas auto motorizadas).Atualizar e apresentar os indicadores do PEF da categoria de SSMA para o GGO na reunião de SSO da fábrica.Avaliar as obras em relação aos procedimentos de SSMA conforme relatório de auditoria disponível no autodoc. Lançar no portal os itens conformes e não conformes, com as fotos e anexar cópia do relatório assinada pelo auditor e gestores.Compilar os indicadores da fábrica e colocar as evidencias na rede SSO corporativo (Cartões de condição e comportamento de risco, atividades dos TST, ACA e ASA, ondas de procedimento de MA e SSO, planilha de advertências.Revisar projetos dos EPCs de suas respectivas fábricas, solicitar atualização ou novos projetos para o book.Revisar EPIs de suas respectivas fábricas, solicitar testes de novos produtos, levando em consederação qualidade e preço.Requisitos e qualificaçõesEnsino superior preferencialmente em ENGENHARIA CIVIL / ENGENHARIA DE PRODUÇÃO / ENGENHARIA MEIO AMBIENTE.Pacote officeExperiência em leitura de projetosConhecimento básico da legislação brasileira de segurança e saúdeDesejável - Atuação como Técnico de SegurançaInformações adicionaisDay off de aniversário;Vale refeição e vale transporte;Plano de saúde e odontológico (opcional);Convênio Farmácia;Seguro de vida;Wellhub - (Gympass);Previdência Privada;Bônus anual;Auxílio creche até os 2 anos do bebê para mulheres;Adicional de 1 mês de licença maternidade não remunerada (opcional);Licença paternidade estendida;Programa Viva Bem Tenda;Plataformas Educacionais;Emenda de feriados (desconto em banco de horas);Dress code flexível.",Construtora Tenda,banco de talentos,Rio Grande do Sul,presencial
Analista de desenvolvimento SCADA | Elipse (Pleno),"A Automa está crescendo e se desenvolvendo cada vez mais! Nós já superamos os limites das fronteiras de nosso país e agora precisamos de mais profissionais comprometidos e apaixonados por criar tecnologias de excelência, e soluções inovadoras para empresas de energia ao redor do mundo.&nbsp;Aqui temos o compromisso de zelar uns pelos outros e cuidar para que nossos colegas sempre se sintam acolhidos em suas necessidades e dúvidas. Com uma alta confiança em nossos colaboradores, fazemos questão de manter um clima amigável e leve no dia a dia do trabalho.&nbsp;Que tal fazer parte desse time e ser uma de nossas potências?&nbsp;⚡⚡Sua missão como Analista de desenvolvimento SCADA | ElipseEstamos em busca de Analistas de Desenvolvimento SCADA (Supervisory, Control and Data Acquisition), com expertise em sistemas Elipse, para integrar nossos times.Nessa posição, você terá a oportunidade de desempenhar um papel fundamental no desenvolvimento, testes e implementação de sistemas SCADA, que sustentam as nossas operações no setor de energia fotovoltaica.Responsabilidades e atribuiçõesQual será o seu desafio na Automa?&nbsp;# Desenvolver aplicações SCADA utilizando a plataforma ELIPSE para otimizar a supervisão e o controle de ativos de energia fotovoltaica;# Colaborar com equipes internas para entender as necessidades operacionais e transformá-las em soluções práticas e funcionais para o time;# Integrar diversos dispositivos de campo, como&nbsp;Program Logic Controller&nbsp;(PLCs), Real Time Units (RTUs) e&nbsp;Intelligent Electronic Devices&nbsp;(IEDs), para garantir a coleta precisa e em tempo real dos dados operacionais;# Projetar IHMs&nbsp;intuitivas e com alta performance que forneçam informações cruciais aos operadores de forma clara e acessível;# Realizar testes de aceitação em fábrica (TAF) e em campo (TAC) rigorosos para garantir a qualidade e a confiabilidade das soluções SCADA desenvolvidas.&nbsp;Requisitos e qualificaçõesRequisitos necessários:&nbsp;# Graduação em Engenharia Elétrica, Engenharia de Controle e Automação, Ciência da Computação ou áreas correlatas;# Experiência no desenvolvimento de sistemas SCADA, com ênfase em Elipse (E3 ou Power);# Compreensão dos principais protocolos de comunicação do setor de energia, tais como: OPC, Modbus, DNP3, MMS, Goose, IEC 60870-5-104, entre outros;# Habilidades para analíticas para resolução de problemas, identificando inovação e melhorias dos sistemas;# Habilidades de comunicação para interagir com nossos times e com nossos clientes.Não é obrigatório, mas o conhecimento será considerado um diferencial:# Conhecimento em linguagens de programação (VBScript, XML) e lógica de controle;# Conhecimento em Elipse Plant Manager (EPM) e VBScript;# Compreensão das especificidades do setor de energia elétrica (fotovoltaica) e familiaridade com padrões e regulamentos relevantes;# Experiência na análise e aplicação de arquiteturas de nível de controle, tanto em operação local como em centros de operação;# Excel e conhecimento em VBA;# Conhecimento em Banco de Dados Relacionais (SQL, Oracle, entre outros);# Redes e infraestrutura de&nbsp;comunicação&nbsp;.Informações adicionaisInformações adicionais sobre a oportunidade:# Para essa posição é necessário disponibilidade para viagens de acordo com as necessidades da área;Conheça nossos benefícios:# Plano de saúde e odontológico;# Auxílio-alimentação, pago em cartão flexível;# Auxílio-creche;# Gympass;# PLR;# Seguro de Vida;# Universidade Automa;# Apoio em certificações Elipse;# Benefício para cursos de idioma;# Vale Solidariedade, para apoio em causas sociais;# Vale Farra, para integração de pessoas;# E muito mais!",Automa,CLT,São Paulo,híbrido
Analista de Operações Júnior ,"A Central IT tem como propósito, “Inspirarr Pessoas e Impactar Negócios”, e isso diz muito sobre quem somos.O que você acha de trabalhar em uma empresa focada em promover a inovação, atuando com um time dinâmico e dedicado, que valoriza o seu conhecimento para te ajudar a crescer?Se isso é o que faz os seus olhos brilharem, chegou o seu momento de se tornar um #citlover!Como descrever o nosso #citlover?Para ser um colaborador aqui na Central, você deve ser aquela pessoa sagaz, com perfil de Transformação Digital, com sede de conhecimento e inovação, que busca sempre dar o seu melhor para entregar resultados e compartilhar experiências.Responsabilidades e atribuiçõesAqui na Central, você será responsável por:Tratar e finalizar os atendimentos não concluídos no 1º nível de atendimento;Elaborar o conteúdo das bases de conhecimento utilizadas pelos operadores da Central de Relacionamento do MDS, para validação pelo 3º Nível/Área Técnica;Monitorar os atendimentos prestados aos(às) demandantes do MDS pelos operadores da CR;Analisar dados e informações e a partir deles prestar suporte aos Analistas II;Acompanhar o trabalho desenvolvido e prestar suporte ao 1º nível de atendimento.Requisitos e qualificaçõesQuais requisitos você precisa ter?Hard skills:Cursando nível superior; Conhecimentos básicos de informática;Capacidade para expressar-se com clareza e objetividade, tanto por meio de linguagem escrita quanto falada;Capacidade apurada para concentrar-se na execução do trabalho e ter conhecimento de língua portuguesa e redação oficial;&nbsp;Soft skills:&nbsp;Disposição para a execução das tarefas rotineiras;Proatividade no desempenho das atividades da equipe;Capacidade de coleta de dados: saber como e de onde colher dados e informações necessárias à melhoria da prestação dos serviços.&nbsp;Informações adicionaisE quais são os benefícios?🏥 Qualidade de vida, com planos de saúde e odontológico;👩‍⚕️ Programas de saúde e bem-estar;🍛 Boa alimentação, com vale alimentação ou refeição;🚍 Mobilidade para ir e vir, com vale transporte ou auxílio combustível;💲 Reconhecimento com bonificação variável por resultados;📚 E o incentivo à inovação, com o nosso programa de treinamentos;Na Central IT todas as pessoas são bem-vindas! Sem distinção de gênero, orientação sexual, etnia, cultura, religião, deficiência e etc. 💙E aí, o que acha do desafio? Está pronto para fazer parte da #empresadoabraco?Então chega mais, que estamos de braços abertos para te receber. Venha ser um #citlover!Quem nós somos e o que fazemos?&nbsp;Uma empresa à frente do seu tempo, com tamanho de multinacional e cabeça de startup. Somos a Central IT, referência no mercado de tecnologia desde 2004, buscando sempre inovar para impactar pessoas e negócios.&nbsp;&nbsp;O nosso compromisso é facilitar a sua relação com a tecnologia, trazendo o amanhã para hoje. Nós entendemos que a transformação digital é algo que deve impactar não somente os nossos clientes, mas também os clientes deles. Por isso, desenvolvemos ambientes inovadores para acolher a todos nos mercados público e privado.",Central IT,banco de talentos,Distrito Federal,presencial
Analista de Dados | Guararapes ,"Aqui na Riachuelo a gente se conecta com você! #VemSerRCHLOVER 🚀❤️Existimos para conectar desejos a realizações. E você escolher a Riachuelo para fazer a sua carreira acontecer é uma realização para a gente!Aqui, nossos mais de 36 mil RCHLOVERS encontram o melhor ambiente para se transformarem e se desenvolverem junto com a gente. Afinal, somos moda, varejo, tech, logística, financeira, indústria e a maior empresa de moda da América Latina! ♥Vamos juntos construir o maior ecossistema de moda, lifestyle e produtos financeiros do Brasil!Nosso time da Guararapes Natal está em busca de um Analista de Dados, para compor a equipe!♿ Lembramos que nossas oportunidades são para todos. Na Riachuelo, você encontra um ambiente diverso, com respeito e empatia, em que cuidamos dos RCHLOVERS.Responsabilidades e atribuiçõesOs desafios da função são:Habilidade de relacionamento com cliente para negociação de demandas e levantamento de requisitos.Análise de dados de dados para planejamento industrial;Elaboração de dashboards, relatórios, apresentações e indicadores.Manutenção e melhorias em recorrência com VBA.O seu perfil será avaliado no processo seletivo.Requisitos e qualificaçõesÉ muito importante que você tenha e/ou saiba:Ensino superior completo em Ciência da Computação, Sistemas de Informação, Engenharia ou áreas correlatas.Conhecimento avançado em Excel avançado, Power BI, VBA e Banco de dados.Programação DAX, SAS/ou SQL, Phyton, R.Informações adicionaisE quais são os benefícios?Plano de carreira;Assistência Médica;Seguro de vida em grupo (opcional);Refeitório;Transporte interno da empresa - rotaGympass;Descontos em faculdades, escolas de idiomas e academias;Desconto em assistência odontológica (opcional);Descontos em compras na Riachuelo.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Após sua contratação, verificar informações sobre o acordo coletivo/política vigente.Informações complementares:&nbsp;&nbsp;&nbsp;Regime de contratação:&nbsp;CLT (Efetivo);Local de Trabalho: Guara, Natal - RN.Para conhecer todos os nossos benefícios, acesse www.riachuelo.com.br/carreirasCurtiu? Então candidate-se agora!#VemSerRCHLOVER",Riachuelo ,CLT,Rio Grande do Norte,presencial
